train_acc,train_loss,val_acc,val_loss
0.03185263157894737,4.3407555,0.055200000000000006,4.0878496
0.0789263157894737,3.9714382,0.1116,3.7809753
0.12648421052631578,3.6860418,0.14600000000000002,3.516193
0.16166315789473681,3.4750395,0.17679999999999998,3.353619
0.1937894736842105,3.2980962,0.2072,3.2197187
0.22063157894736846,3.1402905,0.24639999999999998,3.0160208
0.24090526315789476,3.0146213,0.24880000000000002,2.9633234
0.2633052631578947,2.8939784,0.2844,2.8224466
0.2826736842105263,2.813575,0.2772,2.8411834
0.2979789473684211,2.739222,0.3016,2.7606704
0.30722105263157895,2.6781604,0.3068,2.7032895
0.32018947368421047,2.621444,0.336,2.6295917
0.3295368421052632,2.5780525,0.31479999999999997,2.6810672
0.34073684210526306,2.5242596,0.3336,2.6193466
0.35046315789473675,2.482659,0.3432,2.5190134
0.3600842105263158,2.4416695,0.3636,2.4443195
0.3661052631578947,2.4056745,0.3716,2.4231215
0.37545263157894737,2.3660965,0.3624,2.4345784
0.38075789473684213,2.3406103,0.3728,2.4719255
0.3871578947368422,2.3126922,0.3824,2.4145544
